date,fx_usd_avg,fx_mom_pct
2020-02-01,37.2665,-0.07398198593490113
2020-03-01,37.217727272727274,-0.13087552432540228
2020-04-01,37.345454545454544,0.34318934036809967
2020-05-01,37.75809523809524,1.1049288264478152
2020-06-01,37.54545454545455,-0.5631658358288938
2020-07-01,37.55652173913044,0.029476787030224827
2020-08-01,37.184761904761906,-0.9898675839866033
2020-09-01,36.93681818181818,-0.6667885183150091
2020-10-01,36.933181818181815,-0.009844821008853089
2020-11-01,36.93190476190476,-0.0034577477871833295
2020-12-01,36.31238095238095,-1.6774759209355783
2021-01-01,36.114,-0.5463176668065395
2021-02-01,35.937,-0.4901146369828857
2021-03-01,35.904782608695655,-0.08964964049403834
2021-04-01,35.889545454545456,-0.04243767276426169
2021-05-01,35.97777777777778,0.2458440810961804
2021-06-01,36.11954545454545,0.39404233814361866
2021-07-01,36.083684210526314,-0.09928487074751802
2021-08-01,36.14523809523809,0.17058647435401753
2021-09-01,36.13181818181818,-0.037127749399656906
2021-10-01,36.104,-0.07699081645490269
2021-11-01,36.12318181818182,0.05312934351269227
2021-12-01,36.2095652173913,0.23913563219395417
2022-01-01,36.22142857142857,0.032763039174987796
2022-02-01,36.224000000000004,0.0070991914809859225
2022-03-01,36.3,0.20980565371022664
2022-04-01,36.333333333333336,0.09182736455464191
2022-05-01,36.38157894736842,0.13278609367453065
2022-06-01,36.33090909090909,-0.13927338484300833
2022-07-01,37.0195,1.8953307977179534
2022-08-01,37.582608695652176,1.521113725609946
2022-09-01,37.74090909090909,0.4212065121366404
2022-10-01,37.83857142857143,0.25877049603413305
2022-11-01,37.9052380952381,0.17618706031889975
2022-12-01,37.33863636363637,-1.494784784567571
2023-01-01,36.074999999999996,-3.3842595410554788
2023-02-01,34.9655,-3.0755370755370715
2023-03-01,34.36565217391304,-1.7155419659005466
2023-04-01,34.220555555555556,-0.422214068929061
2023-05-01,34.287619047619046,0.1959742937387876
2023-06-01,34.423,0.39483917560136916
2023-07-01,36.45399999999999,5.900124916480243
2023-08-01,37.82043478260869,3.74838092557388
2023-09-01,37.931,0.2923425339418584
2023-10-01,38.416363636363634,1.2795962045915932
2023-11-01,39.453809523809525,2.7005312040098373
2023-12-01,39.5005,0.11834212400274602
2024-01-01,39.684090909090905,0.4647812283158581
2024-02-01,39.87428571428571,0.47927217390593135
2024-03-01,39.77285714285714,-0.25437087990828333
2024-04-01,39.537,-0.5930103085377669
2024-05-01,39.57,0.08346612034297873
2024-06-01,39.27777777777778,-0.7384943700334157
2024-07-01,39.58227272727273,0.7752346663237875
2024-08-01,39.59681818181818,0.03674739610246558
2024-09-01,39.571000000000005,-0.06520266779928008
2024-10-01,39.638695652173915,0.1710738979907367
2024-11-01,39.798421052631575,0.40295321990218014
2024-12-01,39.744,-0.1367417379689706
2025-01-01,39.7545,0.02641908212559496
2025-02-01,39.838499999999996,0.21129683432064006
2025-03-01,39.7345,-0.2610540055474009
2025-04-01,39.596363636363634,-0.34764842551526787
2025-05-01,39.625238095238096,0.07292199642279229
2025-06-01,39.563,-0.15706680446564425
2025-07-01,39.77434782608695,0.5342057631801067
2025-08-01,39.887142857142855,0.28358738036158293
2025-09-01,39.82714285714286,-0.15042441173309662
2025-10-01,39.94782608695652,0.303017543202988
2025-11-01,39.70105263157895,-0.6177393854684299
2025-12-01,39.730000000000004,0.07291335242336494
